,Date,Symbol,Time,Open,High,Low,Close,Volume,Datetime
283,12/22/2020,GME,2:30 PM,19.77,20.0,19.25,19.9801,2851809,12/22/2020:2:30 PM
284,12/22/2020,GME,3:30 PM,20.0,20.04,18.8,18.8335,4028532,12/22/2020:3:30 PM
285,12/22/2020,GME,4:00 PM,18.84,19.81,18.83,19.43,2019110,12/22/2020:4:00 PM
286,12/23/2020,GME,10:30 AM,20.17,22.3499,19.13,21.77,8384007,12/23/2020:10:30 AM
287,12/23/2020,GME,11:30 AM,21.79,21.97,20.5,21.24,3173931,12/23/2020:11:30 AM
288,12/23/2020,GME,12:30 PM,21.265,22.03,21.25,21.3075,2934160,12/23/2020:12:30 PM
289,12/23/2020,GME,1:30 PM,21.31,22.18,21.23,21.29,3783609,12/23/2020:1:30 PM
290,12/23/2020,GME,2:30 PM,21.29,21.7499,20.645,20.99,1602825,12/23/2020:2:30 PM
291,12/23/2020,GME,3:30 PM,21.0019,21.22,20.76,21.13,958547,12/23/2020:3:30 PM
292,12/23/2020,GME,4:00 PM,21.14,21.27,20.5,20.58,1434339,12/23/2020:4:00 PM
293,12/24/2020,GME,10:30 AM,21.01,21.48,20.56,20.755,2265866,12/24/2020:10:30 AM
294,12/24/2020,GME,11:30 AM,20.76,20.83,20.16,20.3,1173401,12/24/2020:11:30 AM
295,12/24/2020,GME,12:30 PM,20.28,20.63,19.95,20.0244,1055259,12/24/2020:12:30 PM
296,12/24/2020,GME,1:30 PM,20.02,20.2242,20.0,20.15,897542,12/24/2020:1:30 PM
297,12/28/2020,GME,10:30 AM,21.31,21.97,20.46,21.08,3270859,12/28/2020:10:30 AM
298,12/28/2020,GME,11:30 AM,21.11,21.36,20.35,21.29,1206533,12/28/2020:11:30 AM
299,12/28/2020,GME,12:30 PM,21.3068,21.3799,20.9,21.0834,553423,12/28/2020:12:30 PM
300,12/28/2020,GME,1:30 PM,21.09,21.15,20.52,20.567,492590,12/28/2020:1:30 PM
301,12/28/2020,GME,2:30 PM,20.58,20.7925,20.42,20.72,516500,12/28/2020:2:30 PM
302,12/28/2020,GME,3:30 PM,20.73,20.96,20.57,20.86,547216,12/28/2020:3:30 PM
303,12/28/2020,GME,4:00 PM,20.85,21.11,20.829,20.98,712112,12/28/2020:4:00 PM
304,12/29/2020,GME,10:30 AM,20.82,21.07,18.56,18.9215,3059708,12/29/2020:10:30 AM
305,12/29/2020,GME,11:30 AM,18.91,19.42,18.81,19.325,1125529,12/29/2020:11:30 AM
